Value,Disaggregation combinations using this value,Number of indicators
"Abbotsford–Mission, British Columbia",1,1
"Abitibi-Témiscamingue, Quebec",1,1
Alberta,619,12
"Annapolis Valley, Nova Scotia",1,1
Atlantic provinces,116,2
Atlantic region,178,1
Atlantic Region,256,1
"Avalon Peninsula, Newfoundland and Labrador",1,1
"Banff-Jasper-Rocky Mountain House and Athabasca-Grande Prairie-Peace River, Alberta",1,1
"Barrie, Ontario",1,1
"Bas-Saint-Laurent, Quebec",1,1
"Belleville-Quinte West, Ontario",1,1
"Brantford, Ontario",1,1
British Columbia,478,12
"Calgary, Alberta",2,2
"Campbellton-Miramichi, New Brunswick",1,1
"Camrose-Drumheller, Alberta",1,1
"Canada, excluding the territories",1,1
Canada,1668,10
"Cape Breton, Nova Scotia",1,1
"Capitale-Nationale, Quebec",1,1
"Cariboo, British Columbia",1,1
"Centre-du-Québec, Quebec",1,1
"Chaudière-Appalaches, Quebec",1,1
"Chilliwack, British Columbia",1,1
"Côte-Nord and Nord-du-Québec, Quebec",1,1
data.Alberta,8,1
data.British Columbia,8,1
data.Canada,7,1
data.Manitoba,8,1
data.New Brunswick,8,1
data.Newfoundland and Labrador,8,1
data.Northwest Territories,8,1
data.Nova Scotia,8,1
data.Nunavut,6,1
data.Ontario,8,1
data.Prince Edward Island,8,1
data.Quebec,8,1
data.Saskatchewan,8,1
data.Yukon,8,1
"Drummondville, Quebec",1,1
Eastern and central provinces,57,1
"Edmonton, Alberta",2,2
"Edmundston-Woodstock, New Brunswick",1,1
"Estrie, Quebec",1,1
"Fredericton, New Brunswick",1,1
"Fredericton-Oromocto, New Brunswick",1,1
"Gaspésie-Îles-de-la-Madeleine, Quebec",1,1
"Greater Sudbury, Ontario",1,1
"Guelph, Ontario",1,1
"Halifax, Nova Scotia",2,2
"Hamilton-Niagara Peninsula, Ontario",1,1
"Hamilton, Ontario",1,1
"Interlake, Manitoba",1,1
"Kamloops, British Columbia",1,1
"Kelowna, British Columbia",1,1
"Kingston, Ontario",1,1
"Kingston-Pembroke, Ontario",1,1
"Kitchener-Waterloo-Barrie, Ontario",1,1
"Kitchener–Cambridge–Waterloo, Ontario",1,1
"Kootenay, British Columbia",1,1
"Lanaudière, Quebec",1,1
"Laurentides, Quebec",1,1
"Laval, Quebec",1,1
"Lethbridge, Alberta",1,1
"Lethbridge-Medicine Hat, Alberta",1,1
"London, Ontario",2,2
"Lower Mainland-Southwest, British Columbia",1,1
Manitoba and Saskatchewan,10,1
Manitoba,202,11
"Mauricie, Quebec",1,1
"Moncton, New Brunswick",1,1
"Moncton-Richibucto, New Brunswick",1,1
"Montréal, Quebec",12,2
"Montérégie, Quebec",1,1
"Muskoka-Kawarthas, Ontario",1,1
"Nanaimo, British Columbia",1,1
New Brunswick,203,11
Newfoundland and Labrador,201,11
"North Coast and Nechako, British Columbia",1,1
"North Shore, Nova Scotia",1,1
"Northeast, British Columbia",1,1
"Northeast, Ontario",1,1
"Northwest, Ontario",1,1
Northwest Territories,84,8
Nova Scotia,200,11
Nunavut,76,7
Ontario,744,13
"Ottawa-Gatineau, Ontario part",1,1
"Ottawa-Gatineau, Quebec part",1,1
"Ottawa, Ontario",1,1
"Outaouais, Quebec",1,1
"Parklands and Northern, Manitoba",1,1
"Peterborough, Ontario",1,1
Prairie provinces,139,2
Prairie region,225,1
"Prince Albert and Northern, Saskatchewan",1,1
Prince Edward Island,201,11
Quebec,726,13
"Québec, Quebec",1,1
"Red Deer, Alberta",2,2
"Regina-Moose Mountain, Saskatchewan",1,1
"Regina, Saskatchewan",1,1
Rest of Canada excluding Alberta,227,1
Rest of Canada,252,1
"Saguenay-Lac-Saint-Jean, Quebec",1,1
"Saguenay, Quebec",1,1
"Saint John, New Brunswick",1,1
"Saint John-St. Stephen, New Brunswick",1,1
Saskatchewan,202,11
"Saskatoon-Biggar, Saskatchewan",1,1
"Saskatoon, Saskatchewan",1,1
"Sherbrooke, Quebec",1,1
"South Central and North Central, Manitoba",1,1
"South Coast-Burin Peninsula and Notre Dame-Central Bonavista Bay, Newfoundland and Labrador",1,1
"Southeast, Manitoba",1,1
"Southern, Nova Scotia",1,1
"Southwest, Manitoba",1,1
"St. Catharines–Niagara, Ontario",1,1
"St. John's, Newfoundland and Labrador",1,1
"Stratford-Bruce Peninsula, Ontario",1,1
"Swift Current-Moose Jaw, Saskatchewan",1,1
Territories,101,1
"Thompson-Okanagan, British Columbia",1,1
"Thunder Bay, Ontario",1,1
"Toronto, Ontario",12,2
"Trois-Rivières, Quebec",1,1
"Vancouver, British Columbia",11,2
"Vancouver Island and Coast, British Columbia",1,1
"Victoria, British Columbia",1,1
"West Coast-Northern Peninsula-Labrador, Newfoundland and Labrador",1,1
Western provinces,57,1
"Windsor, Ontario",1,1
"Windsor-Sarnia, Ontario",1,1
"Winnipeg, Manitoba",2,2
"Wood Buffalo-Cold Lake, Alberta",1,1
"Yorkton-Melville, Saskatchewan",1,1
Yukon,83,8
