Year,Géographie,Source,Value
1990,Alberta,Inventaire provincial,171.7849588
1990,Alberta,Exploitation pétrolière et gazière,65.21309573
1990,Alberta,Charbon,0.596265064
1990,Alberta,Électricité,39.75914369
1990,Alberta,Transports,17.01308686
1990,Alberta,Industrie lourde,12.63573853
1990,Alberta,"Fabrication légère, construction et ressources forestières",5.576430745
1990,Alberta,Bâtiments,12.02922198
1990,Alberta,Déchets et autres,2.406625561
1990,Alberta,Agriculture,16.55535068
1991,Alberta,Inventaire provincial,172.9444695
1991,Alberta,Exploitation pétrolière et gazière,66.3375869
1991,Alberta,Charbon,0.626405723
1991,Alberta,Électricité,41.55666457
1991,Alberta,Transports,15.30743735
1991,Alberta,Industrie lourde,13.08623221
1991,Alberta,"Fabrication légère, construction et ressources forestières",4.962009179
1991,Alberta,Bâtiments,11.78135199
1991,Alberta,Déchets et autres,2.512735479
1991,Alberta,Agriculture,16.77404611
1992,Alberta,Inventaire provincial,180.9919743
1992,Alberta,Exploitation pétrolière et gazière,71.68807949
1992,Alberta,Charbon,0.642442048
1992,Alberta,Électricité,44.71101778
1992,Alberta,Transports,15.30025445
1992,Alberta,Industrie lourde,12.852685
1992,Alberta,"Fabrication légère, construction et ressources forestières",4.638753979
1992,Alberta,Bâtiments,11.21267266
1992,Alberta,Déchets et autres,2.631371011
1992,Alberta,Agriculture,17.31469786
1993,Alberta,Inventaire provincial,186.7214107
1993,Alberta,Exploitation pétrolière et gazière,75.42071939
1993,Alberta,Charbon,0.718564147
1993,Alberta,Électricité,45.37940197
1993,Alberta,Transports,15.15113273
1993,Alberta,Industrie lourde,13.01580112
1993,Alberta,"Fabrication légère, construction et ressources forestières",3.928698342
1993,Alberta,Bâtiments,11.89231251
1993,Alberta,Déchets et autres,2.740798415
1993,Alberta,Agriculture,18.4739821
1994,Alberta,Inventaire provincial,196.1613682
1994,Alberta,Exploitation pétrolière et gazière,77.15423913
1994,Alberta,Charbon,0.695651713
1994,Alberta,Électricité,48.67134914
1994,Alberta,Transports,16.17044752
1994,Alberta,Industrie lourde,14.7582061
1994,Alberta,"Fabrication légère, construction et ressources forestières",3.585167873
1994,Alberta,Bâtiments,12.64998519
1994,Alberta,Déchets et autres,2.878046058
1994,Alberta,Agriculture,19.59827548
1995,Alberta,Inventaire provincial,201.22272
1995,Alberta,Exploitation pétrolière et gazière,79.3052292
1995,Alberta,Charbon,0.781025848
1995,Alberta,Électricité,48.18185017
1995,Alberta,Transports,15.91535556
1995,Alberta,Industrie lourde,14.86305312
1995,Alberta,"Fabrication légère, construction et ressources forestières",4.537320583
1995,Alberta,Bâtiments,13.93126415
1995,Alberta,Déchets et autres,3.022577851
1995,Alberta,Agriculture,20.68504354
1996,Alberta,Inventaire provincial,207.9454062
1996,Alberta,Exploitation pétrolière et gazière,83.12547189
1996,Alberta,Charbon,0.850518554
1996,Alberta,Électricité,47.53584039
1996,Alberta,Transports,16.82462486
1996,Alberta,Industrie lourde,15.0147176
1996,Alberta,"Fabrication légère, construction et ressources forestières",5.090852415
1996,Alberta,Bâtiments,15.26273922
1996,Alberta,Déchets et autres,3.09787254
1996,Alberta,Agriculture,21.14276875
1997,Alberta,Inventaire provincial,212.2468353
1997,Alberta,Exploitation pétrolière et gazière,83.18317561
1997,Alberta,Charbon,0.807540308
1997,Alberta,Électricité,49.64294134
1997,Alberta,Transports,18.41200326
